Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get All Students,4000,10,3,412,12.07,0.000%,50.08326,3238.93,6.11,66223.1
Create Student,4000,24,9,200,11.84,0.000%,50.27778,10.10,11.78,205.7
Get All Courses,4000,9,2,88,7.59,0.000%,50.32586,3254.49,6.09,66220.4
Create Course,4000,24,7,175,10.44,0.000%,50.25189,10.02,11.73,204.3
Get All Enrollments,4000,14,3,166,12.55,0.000%,50.30244,8965.18,6.29,182503.0
Create Enrollment,4000,26,11,134,10.26,0.000%,50.23863,12.99,13.20,264.7
TOTAL,24000,18,2,412,13.03,0.000%,290.94083,14945.81,53.27,52603.5
