Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get All Students,4000,10,8,22,27,56,3,412,0.000%,50.08326,3238.93,6.11
Create Student,4000,24,22,35,43,71,9,200,0.000%,50.27778,10.10,11.78
Get All Courses,4000,9,7,15,20,49,2,88,0.000%,50.32586,3254.49,6.09
Create Course,4000,24,22,35,41,65,7,175,0.000%,50.25189,10.02,11.73
Get All Enrollments,4000,14,11,26,39,64,3,166,0.000%,50.30244,8965.18,6.29
Create Enrollment,4000,26,25,37,45,69,11,134,0.000%,50.23863,12.99,13.20
TOTAL,24000,18,17,32,39,64,2,412,0.000%,290.94083,14945.81,53.27
