Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
View All Students,1000,20,8,297,23.08,0.000%,12.30497,212.53,1.50,17686.4
Create Student,1000,32,17,314,17.65,0.000%,12.33274,2.50,2.92,207.7
View All Courses,1000,21,8,508,29.77,0.000%,12.38068,213.83,1.50,17686.2
Create Course,1000,32,16,365,19.73,0.000%,12.41141,2.52,2.93,207.7
View All Enrollments,1000,21,9,389,27.12,0.000%,12.47552,238.16,1.56,19548.4
Create Enrollment,1000,33,17,370,23.08,0.000%,12.55052,2.59,3.95,211.5
TOTAL,6000,26,8,508,24.50,0.000%,71.58367,647.19,13.80,9258.0
