Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
View All Students,2000,22,14,41,74,123,8,529,0.000%,24.60297,857.04,3.00
Create Student,2000,32,29,46,55,94,16,284,0.000%,24.75952,5.04,5.87
View All Courses,2000,23,14,38,76,132,8,681,0.000%,24.80036,863.90,3.00
Create Course,2000,32,29,45,57,95,16,272,0.000%,24.90722,5.07,5.88
View All Enrollments,2000,24,15,43,78,148,9,561,0.000%,24.97097,963.47,3.12
Create Enrollment,2000,32,29,45,56,84,18,305,0.000%,25.11900,5.21,7.92
TOTAL,12000,27,23,45,64,118,8,681,0.000%,142.94734,2593.70,27.56
