Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get All Students,200,7,5,8,12,30,3,298,0.000%,34.28767,112.07,4.19
Create Student,200,23,22,31,35,47,10,149,0.000%,36.07504,7.20,8.46
Get All Courses,200,5,5,7,7,9,3,11,0.000%,37.03704,121.02,4.48
Create Course,200,22,21,31,35,37,12,48,0.000%,37.00962,7.34,8.64
Get All Enrollments,200,7,6,9,14,28,4,36,0.000%,37.22315,332.97,4.65
Create Enrollment,200,26,25,35,45,54,13,73,0.000%,37.20930,9.57,9.77
TOTAL,1200,15,15,28,33,47,3,298,0.000%,203.94290,548.49,37.34
