Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get All Students,1000,5,5,7,12,30,3,160,0.000%,47.52852,767.45,5.80
Create Student,1000,22,21,29,34,45,10,126,0.000%,47.86063,9.58,11.22
Get All Courses,1000,4,4,6,7,9,3,16,0.000%,48.14173,777.38,5.83
Create Course,1000,22,20,29,35,48,12,147,0.000%,48.13014,9.56,11.23
Get All Enrollments,1000,7,6,9,20,28,4,42,0.000%,48.19277,2163.18,6.02
Create Enrollment,1000,24,23,33,41,53,11,103,0.000%,48.19045,12.42,12.66
TOTAL,6000,14,15,27,31,45,3,160,0.000%,284.49502,3690.72,52.09
