Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
View All Students,200,8,4,276,19.88,0.000%,2.64313,9.13,0.32,3535.2
Create Student,200,20,11,179,14.71,0.000%,2.64795,0.53,0.63,206.6
View All Courses,200,8,4,262,18.54,0.000%,2.65728,9.18,0.32,3539.1
Create Course,200,20,13,161,13.83,0.000%,2.66464,0.54,0.63,206.6
View All Enrollments,200,8,4,287,20.50,0.000%,2.67065,10.01,0.33,3839.6
Create Enrollment,200,20,12,203,15.69,0.000%,2.67877,0.55,0.84,209.7
TOTAL,1200,14,4,287,18.37,0.000%,15.32743,28.78,2.95,1922.8
